PHI	R	NSTEPS
0.000000	0.100000	0
0.720000	0.100004	2
1.440000	0.100016	2
2.160000	0.100036	2
2.880000	0.100065	2
3.600000	0.100101	2
4.320000	0.100146	2
5.040000	0.100198	2
5.760000	0.100259	2
6.480000	0.100328	2
7.200000	0.100405	2
7.920000	0.100491	2
8.640000	0.100584	2
9.360000	0.100686	2
10.080000	0.100796	2
10.800000	0.100914	2
11.520000	0.101040	2
12.240000	0.101175	2
12.960000	0.101318	2
13.680000	0.101470	2
14.400000	0.101630	2
15.120000	0.101798	2
15.840000	0.101975	2
16.560000	0.102160	2
17.280000	0.102354	2
18.000000	0.102556	2
18.720000	0.102767	2
19.440000	0.102987	2
20.160000	0.103215	2
20.880000	0.103452	2
21.600000	0.103698	2
22.320000	0.103953	2
23.040000	0.104217	2
23.760000	0.104489	2
24.480000	0.104771	2
25.200000	0.105061	2
25.920000	0.105361	2
26.640000	0.105670	2
27.360000	0.105988	2
28.080000	0.106316	2
28.800000	0.106652	2
29.520000	0.106999	2
30.240000	0.107354	2
30.960000	0.107719	2
31.680000	0.108094	2
32.400000	0.108478	2
33.120000	0.108873	2
33.840000	0.109277	2
34.560000	0.109690	2
35.280000	0.110114	2
36.000000	0.110548	2
36.720000	0.110992	2
37.440000	0.111446	2
38.160000	0.111910	2
38.880000	0.112385	2
39.600000	0.112870	2
40.320000	0.113365	2
41.040000	0.113871	2
41.760000	0.114388	2
42.480000	0.114915	2
43.200000	0.115453	2
43.920000	0.116002	2
44.640000	0.116562	2
45.360000	0.117133	2
46.080000	0.117714	2
46.800000	0.118308	2
47.520000	0.118912	2
48.240000	0.119528	2
48.960000	0.120155	2
49.680000	0.120793	2
50.400000	0.121443	2
51.120000	0.122105	2
51.840000	0.122778	2
52.560000	0.123463	2
53.280000	0.124160	2
54.000000	0.124869	2
54.720000	0.125590	2
55.440000	0.126323	2
56.160000	0.127068	2
56.880000	0.127825	2
57.600000	0.128595	2
58.320000	0.129376	2
59.040000	0.130170	2
59.760000	0.130977	2
60.480000	0.131796	2
61.200000	0.132627	2
61.920000	0.133471	3
62.640000	0.134327	3
63.360000	0.135196	3
64.080000	0.136078	3
64.800000	0.136973	3
65.520000	0.137880	3
66.240000	0.138800	3
66.960000	0.139732	3
67.680000	0.140678	3
68.400000	0.141636	3
69.120000	0.142607	3
69.840000	0.143590	3
70.560000	0.144587	3
71.280000	0.145596	3
72.000000	0.146618	3
72.720000	0.147653	3
73.440000	0.148700	3
74.160000	0.149760	3
74.880000	0.150833	3
75.600000	0.151918	3
76.320000	0.153016	3
77.040000	0.154126	3
77.760000	0.155248	3
78.480000	0.156383	3
79.200000	0.157530	3
79.920000	0.158690	3
80.640000	0.159861	3
81.360000	0.161044	3
82.080000	0.162239	3
82.800000	0.163446	3
83.520000	0.164665	3
84.240000	0.165895	3
84.960000	0.167136	3
85.680000	0.168388	3
86.400000	0.169651	3
87.120000	0.170926	3
87.840000	0.172211	3
88.560000	0.173506	3
89.280000	0.174812	3
90.000000	0.176127	3
90.720000	0.177453	3
91.440000	0.178788	3
92.160000	0.180133	3
92.880000	0.181487	3
93.600000	0.182851	3
94.320000	0.184222	3
95.040000	0.185603	3
95.760000	0.186991	3
96.480000	0.188388	3
97.200000	0.189792	3
97.920000	0.191204	3
98.640000	0.192623	3
99.360000	0.194049	3
100.080000	0.195481	3
100.800000	0.196920	3
101.520000	0.198364	3
102.240000	0.199814	3
102.960000	0.201270	3
103.680000	0.202730	3
104.400000	0.204195	3
105.120000	0.205664	3
105.840000	0.207137	3
106.560000	0.208614	3
107.280000	0.210093	3
108.000000	0.211576	3
108.720000	0.213061	3
109.440000	0.214548	3
110.160000	0.216037	3
110.880000	0.217527	3
111.600000	0.219019	3
112.320000	0.220510	3
113.040000	0.222002	3
113.760000	0.223494	3
114.480000	0.224985	3
115.200000	0.226475	3
115.920000	0.227964	3
116.640000	0.229450	3
117.360000	0.230935	3
118.080000	0.232417	3
118.800000	0.233896	3
119.520000	0.235371	3
120.240000	0.236843	3
120.960000	0.238310	3
