PHI	R	NSTEPS
121.680000	0.239772	3
122.400000	0.241230	3
123.120000	0.242682	3
123.840000	0.244128	3
124.560000	0.245568	3
125.280000	0.247001	3
126.000000	0.248427	3
126.720000	0.249845	3
127.440000	0.251255	3
128.160000	0.252658	3
128.880000	0.254051	3
129.600000	0.255435	3
130.320000	0.256810	3
131.040000	0.258174	3
131.760000	0.259529	3
132.480000	0.260873	3
133.200000	0.262205	3
133.920000	0.263526	3
134.640000	0.264835	3
135.360000	0.266132	3
136.080000	0.267417	3
136.800000	0.268688	3
137.520000	0.269946	3
138.240000	0.271191	3
138.960000	0.272421	3
139.680000	0.273637	3
140.400000	0.274838	3
141.120000	0.276024	3
141.840000	0.277195	3
142.560000	0.278349	3
143.280000	0.279488	3
144.000000	0.280610	3
144.720000	0.281716	3
145.440000	0.282804	3
146.160000	0.283875	3
146.880000	0.284928	3
147.600000	0.285963	3
148.320000	0.286980	3
149.040000	0.287979	3
149.760000	0.288958	3
150.480000	0.289919	3
151.200000	0.290859	3
151.920000	0.291781	3
152.640000	0.292682	3
153.360000	0.293563	2
154.080000	0.294424	2
154.800000	0.295264	2
155.520000	0.296083	2
156.240000	0.296881	2
156.960000	0.297657	2
157.680000	0.298412	2
158.400000	0.299145	2
159.120000	0.299856	2
159.840000	0.300545	2
160.560000	0.301212	2
161.280000	0.301855	2
162.000000	0.302476	2
162.720000	0.303074	2
163.440000	0.303649	2
164.160000	0.304201	2
164.880000	0.304729	2
165.600000	0.305234	2
166.320000	0.305715	2
167.040000	0.306172	2
167.760000	0.306605	2
168.480000	0.307014	2
169.200000	0.307399	2
169.920000	0.307760	2
170.640000	0.308096	2
171.360000	0.308407	2
172.080000	0.308694	2
172.800000	0.308956	2
173.520000	0.309194	2
174.240000	0.309406	2
174.960000	0.309594	2
175.680000	0.309757	2
176.400000	0.309895	2
177.120000	0.310008	2
177.840000	0.310096	2
178.560000	0.310158	2
179.280000	0.310196	2
180.000000	0.310208	2
180.720000	0.310196	2
181.440000	0.310158	2
182.160000	0.310096	2
182.880000	0.310008	2
183.600000	0.309895	2
184.320000	0.309757	2
185.040000	0.309594	2
185.760000	0.309406	2
186.480000	0.309194	2
187.200000	0.308956	2
187.920000	0.308694	2
188.640000	0.308407	2
189.360000	0.308096	2
190.080000	0.307760	2
190.800000	0.307399	2
191.520000	0.307014	2
192.240000	0.306605	2
192.960000	0.306172	2
193.680000	0.305715	2
194.400000	0.305234	2
195.120000	0.304729	2
195.840000	0.304201	2
196.560000	0.303649	2
197.280000	0.303074	2
198.000000	0.302476	2
198.720000	0.301855	2
199.440000	0.301212	2
200.160000	0.300545	2
200.880000	0.299856	2
201.600000	0.299145	2
202.320000	0.298412	2
203.040000	0.297657	2
203.760000	0.296881	2
204.480000	0.296083	2
205.200000	0.295264	2
205.920000	0.294424	2
206.640000	0.293563	2
207.360000	0.292682	2
208.080000	0.291781	3
208.800000	0.290859	3
209.520000	0.289919	3
210.240000	0.288958	3
210.960000	0.287979	3
211.680000	0.286980	3
212.400000	0.285963	3
213.120000	0.284928	3
213.840000	0.283875	3
214.560000	0.282804	3
215.280000	0.281716	3
216.000000	0.280610	3
216.720000	0.279488	3
217.440000	0.278349	3
218.160000	0.277195	3
218.880000	0.276024	3
219.600000	0.274838	3
220.320000	0.273637	3
221.040000	0.272421	3
221.760000	0.271191	3
222.480000	0.269946	3
223.200000	0.268688	3
223.920000	0.267417	3
224.640000	0.266132	3
225.360000	0.264835	3
226.080000	0.263526	3
226.800000	0.262205	3
227.520000	0.260873	3
228.240000	0.259529	3
228.960000	0.258174	3
229.680000	0.256810	3
230.400000	0.255435	3
231.120000	0.254051	3
231.840000	0.252658	3
232.560000	0.251255	3
233.280000	0.249845	3
234.000000	0.248427	3
234.720000	0.247001	3
235.440000	0.245568	3
236.160000	0.244128	3
236.880000	0.242682	3
237.600000	0.241230	3
238.320000	0.239772	3
239.040000	0.238310	3
239.760000	0.236843	3
240.480000	0.235371	3
241.200000	0.233896	3
241.920000	0.232417	3
242.640000	0.230935	3
243.360000	0.229450	3
244.080000	0.227964	3
244.800000	0.226475	3
245.520000	0.224985	3
246.240000	0.223494	3
246.960000	0.222002	3
247.680000	0.220510	3
248.400000	0.219019	3
249.120000	0.217527	3
249.840000	0.216037	3
250.560000	0.214548	3
251.280000	0.213061	3
252.000000	0.211576	3
252.720000	0.210093	3
253.440000	0.208614	3
254.160000	0.207137	3
254.880000	0.205664	3
255.600000	0.204195	3
256.320000	0.202730	3
257.040000	0.201270	3
257.760000	0.199814	3
258.480000	0.198364	3
259.200000	0.196920	3
259.920000	0.195481	3
260.640000	0.194049	3
261.360000	0.192623	3
262.080000	0.191204	3
262.800000	0.189792	3
263.520000	0.188388	3
264.240000	0.186991	3
264.960000	0.185603	3
265.680000	0.184222	3
266.400000	0.182851	3
267.120000	0.181487	3
267.840000	0.180133	3
268.560000	0.178788	3
269.280000	0.177453	3
270.000000	0.176127	3
270.720000	0.174812	3
271.440000	0.173506	3
272.160000	0.172211	3
272.880000	0.170926	3
273.600000	0.169651	3
274.320000	0.168388	3
275.040000	0.167136	3
275.760000	0.165895	3
276.480000	0.164665	3
277.200000	0.163446	3
277.920000	0.162239	3
278.640000	0.161044	3
279.360000	0.159861	3
280.080000	0.158690	3
280.800000	0.157530	3
281.520000	0.156383	3
282.240000	0.155248	3
282.960000	0.154126	3
283.680000	0.153016	3
284.400000	0.151918	3
285.120000	0.150833	3
285.840000	0.149760	3
286.560000	0.148700	3
287.280000	0.147653	3
288.000000	0.146618	3
288.720000	0.145596	3
289.440000	0.144587	3
290.160000	0.143590	3
290.880000	0.142607	3
291.600000	0.141636	3
292.320000	0.140678	3
293.040000	0.139732	3
293.760000	0.138800	3
294.480000	0.137880	3
295.200000	0.136973	3
295.920000	0.136078	3
296.640000	0.135196	3
297.360000	0.134327	3
298.080000	0.133471	3
298.800000	0.132627	3
299.520000	0.131796	2
300.240000	0.130977	2
300.960000	0.130170	2
301.680000	0.129376	2
302.400000	0.128595	2
303.120000	0.127825	2
303.840000	0.127068	2
304.560000	0.126323	2
305.280000	0.125590	2
306.000000	0.124869	2
306.720000	0.124160	2
307.440000	0.123463	2
308.160000	0.122778	2
308.880000	0.122105	2
309.600000	0.121443	2
310.320000	0.120793	2
311.040000	0.120155	2
311.760000	0.119528	2
312.480000	0.118912	2
313.200000	0.118308	2
313.920000	0.117714	2
314.640000	0.117133	2
315.360000	0.116562	2
316.080000	0.116002	2
316.800000	0.115453	2
317.520000	0.114915	2
318.240000	0.114388	2
318.960000	0.113871	2
319.680000	0.113365	2
320.400000	0.112870	2
321.120000	0.112385	2
321.840000	0.111910	2
322.560000	0.111446	2
323.280000	0.110992	2
324.000000	0.110548	2
324.720000	0.110114	2
325.440000	0.109690	2
326.160000	0.109277	2
326.880000	0.108873	2
327.600000	0.108478	2
328.320000	0.108094	2
329.040000	0.107719	2
329.760000	0.107354	2
330.480000	0.106999	2
331.200000	0.106652	2
331.920000	0.106316	2
332.640000	0.105988	2
333.360000	0.105670	2
334.080000	0.105361	2
334.800000	0.105061	2
335.520000	0.104771	2
336.240000	0.104489	2
336.960000	0.104217	2
337.680000	0.103953	2
338.400000	0.103698	2
339.120000	0.103452	2
339.840000	0.103215	2
340.560000	0.102987	2
341.280000	0.102767	2
342.000000	0.102556	2
342.720000	0.102354	2
343.440000	0.102160	2
344.160000	0.101975	2
344.880000	0.101798	2
345.600000	0.101630	2
346.320000	0.101470	2
347.040000	0.101318	2
347.760000	0.101175	2
348.480000	0.101040	2
349.200000	0.100914	2
349.920000	0.100796	2
350.640000	0.100686	2
351.360000	0.100584	2
352.080000	0.100491	2
352.800000	0.100405	2
353.520000	0.100328	2
354.240000	0.100259	2
354.960000	0.100198	2
355.680000	0.100146	2
356.400000	0.100101	2
357.120000	0.100065	2
357.840000	0.100036	2
358.560000	0.100016	2
359.280000	0.100004	2
360.000000	0.100000	2
